"business_id","phone_number","name","full_address","latitude","longitude","review_count","rating","timezone","website","place_id","place_link","types","price_level","Wednesday","Thursday","Friday","Saturday","Sunday","Monday","Tuesday","city","verified","photos","state","description"
"0x14cab70411060ab1:0xd1a32c65cff0a748","+902122170307","enol Market","19 Mays, enol Market, Fulya Mahallesi, Yaar Dou Sk. no2, 34360 stanbul, Trkiye","41.0592081","28.9926656","6","4.3","Europe/Istanbul","","ChIJsQoGEQS3yhQRSKfwz2Uso9E","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x14cab70411060ab1:0xd1a32c65cff0a748","Grocery store","","","","","","","","","ili/stanbul, Trkiye","false","https://lh5.googleusercontent.com/p/AF1QipNsc6-qMEK4zUsnvQk0CxKhi-7AIe9iz4sqhsUl=w203-h114-k-no","",""
"0x14cab70f67b76be9:0xaf4cee7735104189","+908508080000","ok Market","Merutiyet, ok Market, Elhan Sk. No:3 D:5A, 34363 ili/stanbul, Trkiye","41.0550025","28.992018899999998","","","Europe/Istanbul","https://kurumsal.sokmarket.com.tr/en/our-stores","ChIJ6Wu3Zw-3yhQRiUEQNXfuTK8","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x14cab70f67b76be9:0xaf4cee7735104189","Supermarket","","","","","","","","","ili/stanbul, Trkiye","false","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=XfNYA6tj6TyfTww9lRz__w&cb_client=search.gws-prod.gps&w=203&h=100&yaw=262.50092&pitch=0&thumbfov=100","",""
"0x14cab75432c9efc1:0x2c899be9150952b9","+902122190009","Solo mini market","osmanbey Cumhuriyet, Solo mini market, Teyyareci Fehmi Sk. No:38, 34380 ili/stanbul, Trkiye","41.0529395","28.986459699999997","14","3.7","Europe/Istanbul","","ChIJwe_JMlS3yhQRuVIJFembiSw","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x14cab75432c9efc1:0x2c899be9150952b9","Grocery store","","9AM3AM","9AM3AM","9AM3AM","9AM3AM","11AM3AM","9AM3AM","9AM3AM","ili/stanbul, Trkiye","true","https://lh5.googleusercontent.com/p/AF1QipMRwpdrTZz53wg4fZ83qF9EhRqCmWnGc6Fja-bB=w203-h152-k-no","Open  Closes 3AM",""
"0x14cab76b22af049f:0x864d91447eea118c","+902122963959","Konak Market","Feriky, Konak Market, ahin Sk. 5A, 34377 ili/stanbul, Trkiye","41.0485988","28.9796421","36","4.4","Europe/Istanbul","","ChIJnwSvImu3yhQRjBHqfkSRTYY","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x14cab76b22af049f:0x864d91447eea118c","Discount supermarket, General store, Produce market","","7:44AM11:20PM","7:44AM11:20PM","7:44AM11:20PM","7:44AM11:20PM","7:44AM11:20PM","7:44AM11:20PM","7:44AM11:20PM","ili/stanbul, Trkiye","true","https://lh5.googleusercontent.com/p/AF1QipNbI9wX-N1ra9cmphbJRYiQcXBOJz6qW8B7aSNg=w203-h152-k-no","Open  Closes 11:20PM",""
"0x14cab7a467abc485:0xe8df643cd57bc694","","Serra Market","Cihannma, Serra Market, Barbaros Blv. NO 79/A, 34353 Beikta/stanbul, Trkiye","41.047615","29.007604999999998","","","Europe/Istanbul","","ChIJhcSrZ6S3yhQRlMZ71Txk3-g","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x14cab7a467abc485:0xe8df643cd57bc694","Grocery store","","","","","","","","","Beikta/stanbul, Trkiye","false","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=7JQoPgf3e3wx9F2_rHiIZw&cb_client=search.gws-prod.gps&w=203&h=100&yaw=270.67557&pitch=0&thumbfov=100","",""
"0x14cab704306ad827:0xf5fc351669ee1868","+908502544444","bim market","19 Mays, bim market, oruh Sk. No:22/A, 34360 ili/stanbul, Trkiye","41.0576401","28.9933423","128","4","Europe/Istanbul","https://www.bim.com.tr/Categories/104/magazalar.aspx?CityKey=34&CountyKey=1663","ChIJJ9hqMAS3yhQRaBjuaRY1_PU","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x14cab704306ad827:0xf5fc351669ee1868","Supermarket, General store","","9AM10PM","9AM10PM","9AM10PM","9AM10PM","9AM10PM","9AM10PM","9AM10PM","ili/stanbul, Trkiye","false","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=KAOXKv9lEXAT5towD0WtHQ&cb_client=search.gws-prod.gps&w=203&h=100&yaw=293.59555&pitch=0&thumbfov=100","Open  Closes 10PM",""
"0x14cab6554ac0d859:0x9e5b6c02c9dd5907","+908508080000","ok Market","MECDYEKY, ok Market, FULYA MAH.PROF. DR. BLENT TARCAN CAD, zbal Sk. NO:22, 34394 ili/stanbul, Trkiye","41.062349","29.000944999999998","39","3.7","Europe/Istanbul","https://kurumsal.sokmarket.com.tr/?utm_source=GMB&utm_medium=2446&utm_campaign=magazayonlendirme","ChIJWdjASlW2yhQRB1ndyQJsW54","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x14cab6554ac0d859:0x9e5b6c02c9dd5907","Supermarket, Discount supermarket","","9AM9PM","9AM9PM","9AM9PM","9AM9PM","9AM9PM","9AM9PM","9AM9PM","ili/stanbul, Trkiye","true","https://lh5.googleusercontent.com/p/AF1QipMkiul7OvV1mN_YdxmA9amgx3QorGhDng7l4lkc=w203-h270-k-no","Open  Closes 9PM",""
"0x14cab7a0ef963ead:0x11c7f8710bab290","","Karadeniz market Laz Bakkal Ahmet epni","Trkali, Karadeniz market Laz Bakkal Ahmet epni, Bozca Kekl Sk. No:2 D:1, 34357 Beikta/stanbul, Trkiye","41.0466135","29.0015318","9","4.7","Europe/Istanbul","","ChIJrT6W76C3yhQRkLK6EId_HAE","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x14cab7a0ef963ead:0x11c7f8710bab290","Grocery store","","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Beikta/stanbul, Trkiye","true","https://lh5.googleusercontent.com/p/AF1QipMo0ZwYnQPSwNFXORCSBCzYmdIm4USMdlec-WHR=w203-h152-k-no","Open 24 hours",""
"0x14cab9dde3344029:0xcf54d7eac4b624d1","+902122204757","Baggy Market","Hacmimi, Baggy Market, Dibek Sk. No:22/A, 34425 Beyolu/stanbul, Trkiye","41.027007399999995","28.976906099999997","","","Europe/Istanbul","","ChIJKUA04925yhQR0SS2xOrXVM8","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x14cab9dde3344029:0xcf54d7eac4b624d1","Grocery store","","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Beyolu/stanbul, Trkiye","false","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ywHpqQet-7tIy2STBYAXjA&cb_client=search.gws-prod.gps&w=203&h=100&yaw=26.799545&pitch=0&thumbfov=100","Open 24 hours",""
"0x14cab76218756fd3:0x42dfbfc5a071f4ba","+908508080000","ok Market","Cihangir, ok Market, KULOGLU MAH, Sraselviler Cd. NO:84/A, 34433 Beyolu/stanbul, Trkiye","41.0314659","28.982599","67","3.5","Europe/Istanbul","https://kurumsal.sokmarket.com.tr/?utm_source=GMB&utm_medium=7354&utm_campaign=magazayonlendirme","ChIJ0291GGK3yhQRuvRxoMW_30I","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x14cab76218756fd3:0x42dfbfc5a071f4ba","Supermarket, Discount supermarket","","9AM9PM","9AM9PM","9AM9PM","9AM9PM","9AM9PM","9AM9PM","9AM9PM","Beyolu/stanbul, Trkiye","true","https://lh5.googleusercontent.com/p/AF1QipNOncGrW2Cl79SY0RwRBsQiT9oVfaOc6o4iDdLz=w203-h152-k-no","Open  Closes 9PM",""
